Short citation,Review,Summary,Publication date,Full citation,Year,URL,PDF,Status,Health impact,Region,Health variable(s),Climate variable(s),Timescale,Impacts,Attribution method,Counterfactual method,Health impacts,$,Scale,Last Modified
Mitchell et al. (2016),,Heat mortality in London and Paris (summer 2003),7/8/2016,"Mitchell, D., Heaviside, C., Vardoulakis, S., Huntingford, C., Masato, G., Guillod, B. P., ... & Allen, M. (2016). Attributing human mortality during extreme heat waves to anthropogenic climate change. Environmental Research Letters, 11(7), 074006.",2016,https://iopscience.iop.org/article/10.1088/1748-9326/11/7/074006/meta,Mitchell 2016 Summer 2003 heat wave in Europe.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/DW07T2shX2176YRbX85cdQ/p9i2KrpTiPULSvWRRaDVRK2EuwD5rupTtJfEeIl3PGFFZefJUO02r_g-qXebfT-XJqdmcbO0NpzkK4oHIpje-df0Qz8FWYVlG661b1-er21c2o2OdIrYDeXaWcLmZpZf3tgfhxN1l-yIsGJHQzEcztUUl13yb5NkyvO14lEuBwk3sXtDcXZYAF5HMzVmxio5gRRH6gPLrvAzpzaQmVGaKA/_eEg2jsNS69KzCIIy8DLjc0XilHUlXEq2wUdsYfg8DA),Peer-reviewed,Heat-related deaths,Europe,Mortality,Temperature,Event,"'- 64 (±3) deaths in London during summer 2003
- 506 (±51) deaths in Paris during summer 2003",Full,Simulated,Partially extrapolated,,Subnational,2/16/2025 8:37pm
Frame et al. (2020),,Mortality from Hurricane Harvey (2017),8/20/2020,"Frame, D. J., Wehner, M. F., Noy, I., & Rosier, S. M. (2020). The economic costs of Hurricane Harvey attributable to climate change. Climatic Change, 160(2), 271-281.",2020,https://link.springer.com/article/10.1007/s10584-020-02692-8?trk=public_post_comment-text,Frame 2020 Hurricane Harvey.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/PccahrpJfDq3A0l9HbUb8w/6u-DOAm3YTbek-k3_yDA7vQ1n-PDPfFge8vCkrc1E6Sfj0l4wvhPmi1Yb9TJyHnz8ifvMN5XEqhi0Olomc46JhEnP8Bw-dBs5Vkcj6YS5I3WrvsqcMmyBWrsLKxXIau1RSmKqNhHGr4giVcfyMWu2aHGgD6SJUMP0OKNZbqSWff4t60j6a_aW_ZQTHec_9CP/pmZ_KjF7DeuU5YogJinFt5p1KW4N3dMz8bKHfbNnKYs),Peer-reviewed,Extreme weather-related deaths,Americas,Life-years,Storms,Event,"'- 357,000 (best estimate; minimum: 148,000) life-years lost ",FAR,External,Observed,checked,Subnational,2/16/2025 8:37pm
Vicedo-Cabrera et al. (2021),,Warm season heat-related deaths in major population centers across 43 countries (1991-2018),5/23/2021,"Vicedo-Cabrera, A. M., Scovronick, N., Sera, F., Royé, D., Schneider, R., Tobias, A., ... & Gasparrini, A. (2021). The burden of heat-related mortality attributable to recent human-induced climate change. Nature Climate Change, 11(6), 492-500.",2021,https://www.nature.com/articles/s41558-021-01058-x,Vicedo-Cabrera 2021 Global heat.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/9oTwASQUS-F0LK71njXUqg/D-641o4uIk9hgN0gMsoN7pW1hXoaXifKliXKZGX6cPiFZpSL09xEYIlAcXxwekv_hqoj1GYAmuUdTdOlBU1KIvGmUf3ot2xfveM7bPqzUH9bR6YSyoh3KHQcIzVUsk1PWVwDXLmDuJhn6IQHWf0SJoIcneoA_hd_qfUWeCiUFyJ7gNh9wdCNnhYRcvHmY8ik/VrGIDSoLVgEubHluH27FYA8W8SqhQxGF_eOpKGa9v0E),Peer-reviewed,Heat-related deaths,"Americas,Europe,Africa,Eastern Mediterranean,South-East Asia,Western Pacific",Mortality,Temperature,Trend,"'- 0.58% (95% CI: 0.24–1.14) of all warm-season deaths; 37.0% (range 20.5–76.3%) of all warm-season heat-related deaths
- ~9,702 (95% CI, 4,005–19,135) deaths per year; 271,656 deaths (95% CI: 112,140 – 535,780) between 1991 and 2018 ",Full,Simulated,Observed,,Global,2/16/2025 8:37pm
Perkins-Kirkpatrick et al. (2022),,Heat mortality in a London heat wave (2006),1/26/2022,"Perkins-Kirkpatrick, S. E., Stone, D. A., Mitchell, D. M., Rosier, S., King, A. D., Lo, Y. E., ... & Wehner, M. (2022). On the attribution of the impacts of extreme weather events to anthropogenic climate change. Environmental Research Letters, 17(2), 024009.",2022,https://iopscience.iop.org/article/10.1088/1748-9326/ac44c8/meta,Perkins-Kirkpatrick 2022 - nb review on extreme event attribution.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/x9Uc5k2MKXlNV1UDa4UStQ/Hg0S36H_PM46ZCxXnyiEO605mCAFObCn_5lU5TF8vuxov6TGLtC2lHCtlIikqEmECkkmJN9mls-SDuGwyaDVSuiVdvcOLBsifsTEqQQUs5XQt9RQPQRerUEtc4kPTpbl0k-u6NQ8ZIglghqWvt9PiQJkKylIH-jRrM7tv3iPR_0BcJPupsacAnH7mbsYoFLntcTdaB273c1GE11nXVVkkP8QlQ67bpDa_BsGzJCYHEs/Y1l0k2Y2lpcwAqlN_PeNkO3Ue7XhN99c0wyWUbSrnZo),Peer-reviewed,Heat-related deaths,Europe,Mortality,Temperature,Event,"'- 10 heat-related deaths on the hottest day of the summer 2006 heat wave in London, UK (July 26, 2006)","FAR,Full",Simulated,Extrapolated,,Subnational,2/16/2025 8:37pm
Chapman et al. (2022),,Childhood heat-related mortality in Africa (1995-2020),7/4/2022,"Chapman, S., Birch, C. E., Marsham, J. H., Part, C., Hajat, S., Chersich, M. F., ... & Kovats, S. (2022). Past and projected climate change impacts on heat-related child mortality in Africa. Environmental Research Letters, 17(7), 074028.",2022,https://iopscience.iop.org/article/10.1088/1748-9326/ac7ac5/meta,Chapman 2022 African childhood heat.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/ixXqCb0FIhm_AoyhyIhHWA/JoHj0H1sVxHDCs2XVS0EtYfagsZkwr4cLBzQlPwuvI0j4hBjvHkGMfdd4DPQZNBkE3P2SneIEcyADvDQZqfJfkHNm0IuVn6jXESwT2yUGqywA_sYiHWe8Vk0-YczQUJ9SWOjTCprqI-lZ3ux2COsZ0SL9veJ_Qc1FnkGDpB9RTbT9fzgInY0Is7Ck38Ebfj8/7HzhNJ8diq6Ns2OyUU5c3I3CKXQR3zbXX_gNPe1VdMc),Peer-reviewed,"Heat-related deaths,Maternal and child health","Africa,Eastern Mediterranean",Mortality,Temperature,Trend,"'- ~3,000 – ~5,000 deaths per year (1995 to 2004)
- ~7,000 – ~11,000 deaths per year (2005 to 2020)
- Twice as many heat-related childhood deaths (by 2009)",Full,Simulated,Partially extrapolated,,Regional,2/16/2025 8:37pm
Mester et al. (2022),,Displacement from tropical cyclone Idai in Mozambique (2019),8/3/2022,"Mester, B., Vogt, T., Bryant, S., Otto, C., Frieler, K., & Schewe, J. (2023). Human displacements from Tropical Cyclone Idai attributable to climate change. Natural Hazards and Earth System Sciences, 23(11), 3467-3485.",2023,https://www.researchsquare.com/article/rs-1898523/v1,Mester 2023.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/k0-cPzTz52TF_u_iZjOs4Q/Se0IhPewWv-eVh0MJnLygEW4wWhS8_xZ0nIWMiQpbPaX6M9G_rvS9CJEPOuZf-1YdqXqfwQgrRyGjrQOacZ0taNoKd3Fz2yEWhe_3Hn0wHPhkjbNaS4iX1jiGIxYDtgs4pjWhdJKDhdRN0sT7-zgHvV-K9m9ejzsE89hOqQ1hk8/Uoo1gl_lj8J_pWJwyRxfPUZ34AlB-1abkfhbsNLZ4Rs),Peer-reviewed,Migration and displacement,Africa,Population affected / at risk,"Storms,Floods",Event,"'- 12,600 (2.7%) – 14,900 (3.2%) additional people displaced by Cyclone Idai ",Full,Simulated,Extrapolated,,Subnational,2/16/2025 8:42pm
Puvvula et al. (2022),,Heat illness in North Carolina (2011 to 2015),9/6/2022,"Puvvula, J., Abadi, A. M., Conlon, K. C., Rennie, J. J., Herring, S. C., Thie, L., ... & Bell, J. E. (2022). Estimating the Burden of Heat‐Related Illness Morbidity Attributable to Anthropogenic Climate Change in North Carolina. GeoHealth, 6(11), e2022GH000636.",2022,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022GH000636,Puvvulua 2022 Heat-related illness in North Carolina.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/AJA94wssV93SBDbU4jIG9w/IeGJhh8pxOJVrv4ExtbX8Xk6TvRpPOgbB3D2CGz7vOPFwS-UBX4mPbLJeTIjYxusstEhL1SNw9VFDcQtgpZTFfbAl57rtyhiqABIGolR5kG19CVKdaGCliRddR_ErnGl1EyHXdH8xm1sZp8maFvfnXAP95BhlP2AFAZvoiPyzKB9lGI8DbvHajF7YymM75SmBVAqWZ96PtsN3CK3Sy5DEQ/i9Juk8GBgmGoOXqG9OcoPWltQGESaqcO966k0oGKrIs),Peer-reviewed,Heat-related morbidity,Americas,Incidence,Temperature,Trend,"- 3 out of 20 emergency room visits related to heat-related illness 
- 13.40% [IQR: -34.90,95.52] of heat-related emergency room visits in Coastal region
- 16.39% [IQR: -35.18,148.26] of heat-related emergency room visits in Piedmont region",Full,Simulated,Observed,,Subnational,2/16/2025 8:37pm
Zhang et al. (2022),,Pre-term births and long-term impacts in China (2010-2020),12/13/2022,"Zhang, Y., Hajat, S., Zhao, L., Chen, H., Cheng, L., Ren, M., ... & Huang, C. (2022). The burden of heatwave-related preterm births and associated human capital losses in China. Nature Communications, 13(1), 7565.",2022,https://www.nature.com/articles/s41467-022-35008-8,Zhang 2022 China pre-term births.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/zvMIO_IPmu50a2niftpblQ/-oi8JapXs4nS4EQwVcGcffUgR0A_i4wmuNAzb6F58FoGMYCzbjVv8Cv7pJ3jP0OadxLCoScLoNj_9bKWFbWBHWThMhGUi26qQgW9esTQq_pyFskRiabadxSNLJ6yip-n80jwFIn1RKvIon6sp4rqUei_zGe6cxiuq3zNM6HJaevD1JxO8gO2AD2PcsvNHiUJ/--5W7LNS_uQVVSPiV-SsBDacuNAtnpsdF8dnNfTxhvc),Peer-reviewed,"Heat-related morbidity,Maternal and child health,Heat-related deaths,Non-communicable diseases",Western Pacific,Prevalence,Temperature,"Trend,Event","'- 25.8% (95% CI: 17.1%-34.5%) of heatwave-related pre-term births (PTBs) per year
- 4609 (95% CI: 711, 6111) PTBs per year
- 62 (95% CI: 9, 82) PTB-related neonatal deaths per year
- 43 (95% CI: 5, 78) PTB-related cases of childhood asthma per year
- 2 (95% CI: 0, 3) PTB-related cases of Type I diabetes per year
- 218 (95%: CI: 34, 290) PTB-related cases of Type II diabetes per year
- 38715 (95% CI: 5972, 51332) PTB-related IQ points lost per year
- 304 (95% CI: 47, 404) PTB-related cases of autism spectrum disorder per year
- 157 (95% CI: 24, 209) PTB-related cases of ADHD per year",Full,Simulated,Observed,checked,National,2/16/2025 8:37pm
Stuart-Smith et al. (2023),,Heat mortality in Zurich (1969-2018),3/17/2023,"Stuart-Smith, R., Vicedo-Cabrera, A., Li, S., Otto, F., Belesova, K., Haines, A., ... & Ebi, K. (2024). Quantifying heat-related mortality attributable to human-induced climate change. ResearchSquare preprint.",2024,https://www.researchsquare.com/article/rs-2702337/v2,PREPRINT - Stuart-Smith et al 2024.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/NGg-est1N-Rdjc6fiS11YQ/pA2-5hX0WXlwTIUJqQVIcS2BIJawSEqBt8FNkjURP_frPTl8_h588Up8YVKXQP6oGMdoVRdoNWqlIbzLwepiwQ_1Pf8lL0VQNIJQm7v5t84f2y8QuHUj_1-zVStyxC0fzKCUL0I9vCIQtXhKvNbKOd3WLQQxG0irwZvc61GchuCauBGhwDbMCXbvbhx2_R7y/C8q90bCXk8Pgemhv7Aq23kTj5OgmcmMiHzIbNYOITk8),Preprint (not peer-reviewed),Heat-related deaths,Europe,Mortality,Temperature,Trend,"'- 1,683 (90% CI: 270 − 3,279) heat-related deaths
- 1.4% (90% CI: 0.2% − 2.7%) of all-cause mortality
- 19 heat-related deaths per summer (1969-1985)
- 48 heat-related deaths per summer (2004-2018)
- Adaptation and other changes in impact-temperature relationship prevented 730 deaths.
- 376 deaths due to the top ten highest-emitting fossil fuel companies (Chevron: 59; ExxonMobil: 54; Saudi Aramco: 53; BP: 42; Gazprom: 36; Royal Dutch / Shell: 36; National Iranian Oil Company: 34; Pemex: 23; Conoco Philips: 20; Petroleos de Venezuela: 19)",Full,Detrended,Observed,,Subnational,2/16/2025 8:37pm
Zhu et al. (2023),,Low birth weight (1990-2014),5/4/2023,"Zhu, Z., Zhang, T., Benmarhnia, T., Chen, X., Wang, H., Wulayin, M., ... & Wang, Q. (2024). Estimating the burden of temperature-related low birthweight attributable to anthropogenic climate change in low-income and middle-income countries: a retrospective, multicentre, epidemiological study. The Lancet Planetary Health, 8(12), e997-e1009.",2024,https://www.thelancet.com/journals/lanplh/article/PIIS2542-5196(24)00242-0/fulltext,Zhu 2024.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/yQ4BQFKKNaZlr-tg0wHdVA/aOS7Xl6xclb7dZKQjzZR4g61-UlCOhLAy-V_OnvMD7xdStAT4RuKSiXH-X62J8ojiqMdbapngd6zRhndHmIZCH7pT28YfjDBNvI_fnhmoYKP6AvyjKmWSRDUOl01TmdnDrGFQBsHUDnzY87OXSyZYbLK6AKwHVvOU3BqCMYcHwk/CXV7u-1xZvcPNL0DFizACR-VKjZchbZKFn4NE9UXGx4),Peer-reviewed,Maternal and child health,"Eastern Mediterranean,Africa,South-East Asia",Incidence,Temperature,Trend,"'- 3,583 cases (59%) of heat-related low birth weights (ehLBWs) in southern Asia
- 982 cases (89%) of hLBWs in western Africa
- 2,899 cases (77%) of hLBWs in eastern Africa
- 2,998 cases (53%) of cold-related low birth weights (cLBWs) avoided in central Africa
- 1,068 cases (63%) of cLBWs avoided in southern Africa
- 1,061 cases (65%) of cLBWs avoided in eastern Africa",Full,Simulated,Observed,,Regional,2/16/2025 8:37pm
